timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1535252458901016,-1,-2,17,0,0,0,-3,-2
1535252458901016,0,3,0,4,6,2,1,1
1535252458901016,0,0,6,0,-1,-3,-1,0
1535252458901016,0,3,-9,2,0,1,-1,1
1535252458923076,0,-1,-11,-2,0,-1,0,0
1535252458923076,-7,-9,13,-5,-6,-6,-7,-5
1535252458924079,0,0,7,-2,0,0,0,0
1535252458924079,-1,-2,-5,-3,-1,-1,0,-1
1535252458946137,2,4,-3,5,3,3,3,1
1535252458946137,1,-1,-17,-2,4,4,0,0
1535252458947385,-1,-2,-3,0,-2,0,0,-1
1535252458947385,0,1,11,-3,-2,-3,-2,-2
1535252458960174,0,0,-6,-2,-2,-3,-1,-1
1535252458960174,-2,-2,1,0,-3,0,1,0
1535252458961177,0,0,10,1,-2,-1,-3,-1
1535252458961177,-1,-1,-18,0,1,0,1,-1
1535252458983263,0,-1,-4,-1,-1,1,0,-2
1535252458983263,0,0,4,-1,-1,0,1,-2
1535252458984239,0,1,6,2,1,-1,-2,-1
1535252458984239,-2,-2,18,3,0,1,0,-2
1535252459006298,-2,-1,-12,-5,-3,-2,-3,-2
1535252459006298,1,-2,29,3,-3,-3,-3,0
1535252459007301,0,2,-12,-3,1,0,-1,0
1535252459007301,0,-1,15,2,3,3,1,-1
1535252459020345,-1,-2,3,0,1,-2,-1,1
1535252459020345,1,4,2,0,0,2,0,-1
1535252459021338,-3,-5,-14,-4,-2,0,0,0
1535252459021338,-2,0,-41,-5,-2,-3,-2,0
1535252459043497,-1,-3,62,1,-3,-2,1,-1
1535252459043497,1,3,-16,1,1,0,0,0
1535252459043497,-3,-2,11,-2,-1,0,-1,0
1535252459043497,0,-2,-3,-1,-2,1,-1,-1
1535252459066457,1,1,-10,1,1,1,0,0
1535252459066457,0,5,-17,-1,0,-2,0,0
1535252459067460,0,-1,11,-1,-2,-1,1,-1
1535252459067460,-1,-3,-18,-3,-2,-2,0,0
1535252459080495,-1,0,1,2,0,-1,1,-1
1535252459080495,-2,-3,-11,-5,-2,-3,-1,-1
1535252459081498,0,2,1,5,4,0,1,-1
1535252459081498,-2,-1,19,7,4,3,2,1
1535252459103556,-2,-3,-14,-2,-2,0,-2,-1
1535252459103556,-1,0,-7,-3,-3,0,1,1
1535252459104156,-1,0,-7,2,-3,-1,-3,0
1535252459104156,-2,-4,28,-2,-4,-4,-2,-2
1535252459126619,0,-2,-9,-1,-4,-1,-1,0
1535252459126619,-6,-8,-12,-8,-2,-3,-3,-3
1535252459126619,1,0,8,0,2,2,1,-2
1535252459126619,3,-1,-6,0,1,0,1,0
1535252459140655,0,0,-8,0,2,1,-1,1
1535252459140655,1,-2,-16,-1,0,0,-1,0
1535252459141659,-2,0,30,1,-3,-2,-1,-1
1535252459141659,-1,2,-5,0,-3,-1,-3,-2
