timestamp,x,y,z,,,
1.53527E+15,-3.6875,4.0625,-39.5,,,
1.53527E+15,-5.3125,3.875,-37.75,,,
1.53527E+15,-2.625,5.125,-38.0625,,,
1.53527E+15,-0.5625,4.6875,-38.3125,,,
1.53527E+15,-2.625,3.5,-35.75,,,
1.53527E+15,-6.6875,3.6875,-34.1875,,,
1.53527E+15,-2.125,4.25,-34.5625,,,
1.53527E+15,-1.625,4.4375,-35.0625,,,
1.53527E+15,-3.0625,5.25,-34.625,,,
1.53527E+15,-5.25,5.8125,-33.4375,,,
1.53527E+15,-3.9375,6.375,-32.6875,,,
1.53527E+15,-5.125,5.4375,-33.8125,,,
1.53527E+15,-5.1875,5.8125,-33.25,,,
1.53527E+15,-4.625,5.6875,-33.8125,,,
1.53527E+15,-1.625,5.9375,-34.25,,,
1.53527E+15,-1.6875,4.9375,-35.3125,,,
1.53527E+15,-5.75,4,-34.875,,,
1.53527E+15,-6.375,5.1875,-35.875,,,
1.53527E+15,-5.0625,5.375,-37.75,,,
1.53527E+15,-3.3125,4.5625,-39.0625,,,
1.53527E+15,-7.1875,4.375,-40.125,,,
1.53527E+15,-8.9375,4,-38.5625,,,
1.53527E+15,-6.6875,4.625,-36.875,,,
1.53527E+15,-4.0625,4.3125,-38.9375,,,
1.53527E+15,-5.25,2.25,-39.6875,,,
1.53527E+15,-7.8125,1.875,-37.75,,,
1.53527E+15,-5.125,2.1875,-38.1875,,,
1.53527E+15,-0.875,1,-38.9375,,,
1.53527E+15,-2.5625,-1.0625,-39.125,,,
1.53527E+15,-5,-1.1875,-37.6875,,,
1.53527E+15,-3.8125,0.4375,-36.9375,,,
1.53527E+15,-1.3125,0.375,-35.75,,,
1.53527E+15,-2.0625,1.0625,-34.625,,,
1.53527E+15,-1,1.125,-33.6875,,,
1.53527E+15,0.375,0.375,-32.8125,,,
1.53527E+15,2.6875,0.1875,-33.8125,,,
1.53527E+15,0.25,-1.0625,-33.75,,,
1.53527E+15,-2.25,-0.625,-33.125,,,
1.53527E+15,-0.5625,-0.125,-34.0625,,,
1.53527E+15,-0.1875,-0.3125,-34.1875,,,
1.53527E+15,-3.5,-1.0625,-31.875,,,
1.53527E+15,-5.5,0,-29.75,,,
1.53527E+15,-5.4375,0.8125,-29.0625,,,
1.53527E+15,-4.3125,1.5625,-29,,,
1.53527E+15,-3.75,1.0625,-28.375,,,
1.53527E+15,-4.5,0.875,-27.1875,,,
1.53527E+15,-7.0625,1,-26.375,,,
1.53527E+15,-6,2,-26.5625,,,
1.53527E+15,-2.875,1.5625,-26.75,,,
1.53527E+15,-2.75,1.375,-26.0625,,,
1.53527E+15,-4.375,1.25,-25.1875,,,
1.53527E+15,-2.75,1.5625,-24.9375,,,
1.53527E+15,-1.75,1.5,-25.5625,,,
1.53527E+15,-2.5,1.3125,-25.5625,,,
1.53527E+15,-2.5,0.3125,-25,,,
1.53527E+15,-3.375,0.5,-24.875,,,
1.53527E+15,-3,0.75,-24.625,,,
1.53527E+15,-2.9375,-0.0625,-24.1875,,,
1.53527E+15,-1.4375,-0.1875,-24.5625,,,
1.53527E+15,-2.25,-0.0625,-23.8125,,,
1.53527E+15,-3.0625,-0.125,-23.25,,,
1.53527E+15,-5.75,-0.1875,-23,,,
1.53527E+15,-8.5625,-0.125,-21.5625,,,
1.53527E+15,-3.5,0.375,-21.625,,,
1.53527E+15,0.625,0.25,-23.0625,,,
1.53527E+15,0.375,0.125,-22.4375,,,
1.53527E+15,-2.125,0,-21.3125,,,
1.53527E+15,-1.5625,-0.0625,-21.0625,,,
1.53527E+15,0.9375,-0.125,-20.0625,,,
1.53527E+15,-0.125,-0.3125,-19.1875,,,
1.53527E+15,-0.9375,1.4375,-18.625,,,
1.53527E+15,-2.25,0.875,-18.9375,,,
1.53527E+15,-4.0625,0.125,-18.625,,,
1.53527E+15,-5.125,-0.125,-17.625,,,
1.53527E+15,-5.5,0.875,-17.5,,,
1.53527E+15,-7.0625,1.25,-17.0625,,,
1.53527E+15,-5.0625,0.25,-17.125,,,
1.53527E+15,-2.4375,-0.5625,-17.375,,,
1.53527E+15,-2.3125,-0.5,-17.5,,,
1.53527E+15,-1.8125,-0.125,-17.8125,,,
1.53527E+15,-2.4375,-0.625,-19.0625,,,
1.53527E+15,-2.9375,-0.6875,-19.6875,,,
1.53527E+15,-1.6875,-0.5625,-19.875,,,
1.53527E+15,-2.25,-0.5625,-20.5625,,,
1.53527E+15,-2.875,-1,-20.4375,,,
1.53527E+15,-1.6875,-0.875,-20.9375,,,
1.53527E+15,-1.375,-1.0625,-21.6875,,,
1.53527E+15,-1.25,-1,-21.6875,,,
1.53527E+15,-0.375,-1.0625,-21.6875,,,
1.53527E+15,-0.25,-0.6875,-22.4375,,,
1.53527E+15,-2.3125,-0.75,-22.9375,,,
1.53527E+15,-0.75,-0.6875,-23.4375,,,
1.53527E+15,0.0625,-0.875,-24.125,,,
1.53527E+15,-0.6875,-0.3125,-24.125,,,
1.53527E+15,-0.625,-0.6875,-24.25,,,
1.53527E+15,0.5,-1.0625,-25.375,,,
1.53527E+15,1.1875,-1.0625,-25.0625,,,
1.53527E+15,2.6875,-0.5625,-24.4375,,,
1.53527E+15,2.5625,-1.375,-24.4375,,,
1.53527E+15,0.75,-1.375,-23.125,,,
1.53527E+15,-1.4375,-0.75,-22.5,,,
1.53527E+15,-0.4375,-0.8125,-22.4375,,,
1.53527E+15,-2,-1,-21.4375,,,
1.53527E+15,-2.25,-0.625,-20.25,,,
1.53527E+15,-1.375,-0.25,-19.625,,,
1.53527E+15,0,-0.1875,-19.6875,,,
1.53527E+15,-0.75,-0.875,-19.25,,,
1.53527E+15,0.875,-0.8125,-19.3125,,,
1.53527E+15,2.4375,-0.8125,-19.625,,,
1.53527E+15,-0.6875,-0.375,-18.6875,,,
1.53527E+15,-2.0625,-0.25,-17.25,,,
1.53527E+15,-0.6875,-1.4375,-16.4375,,,
1.53527E+15,0.0625,-1.625,-14.875,,,
1.53527E+15,2.0625,-1,-12.75,,,
1.53527E+15,2.375,-1.6875,-10.25,,,
1.53527E+15,-1.5625,-2.4375,-8.1875,,,
1.53527E+15,-2.0625,-1.125,-6,,,
1.53527E+15,1.875,-0.25,-4.3125,,,
1.53527E+15,3.3125,-0.625,-2.8125,,,
1.53527E+15,0.4375,-0.75,-1.6875,,,
1.53527E+15,-0.9375,0,-0.875,,,
1.53527E+15,0.375,0.1875,-0.25,,,
1.53527E+15,1.8125,-0.25,0.625,,,
1.53527E+15,0.25,0.125,1.5625,,,
1.53527E+15,-1.1875,0.5,1.6875,,,
1.53527E+15,-0.25,0.5625,1.75,,,
1.53527E+15,-0.4375,0,1.8125,,,
1.53527E+15,-0.25,0.625,1.0625,,,
1.53527E+15,0.3125,0.5,0.5625,,,
1.53527E+15,0.5,0,-0.1875,,,
1.53527E+15,-0.25,0.0625,-0.0625,,,
1.53527E+15,0.125,0.1875,-0.3125,,,
1.53527E+15,1.375,-0.5625,-1,,,
1.53527E+15,0.75,-1,-1.625,,,
1.53527E+15,0.75,-1.3125,-2.125,,,
1.53527E+15,-0.5625,-1.6875,-2.0625,,,
1.53527E+15,0.125,-1.25,-2.4375,,,
1.53527E+15,0.6875,-1.625,-2.5,,,
1.53527E+15,-0.625,-2.1875,-2.375,,,
1.53527E+15,-1.1875,-2.625,-2.1875,,,
1.53527E+15,0.25,-1.8125,-2.1875,,,
1.53527E+15,1.5625,-0.9375,-1.5625,,,
1.53527E+15,0.125,-0.8125,-0.75,,,
1.53527E+15,-0.6875,-0.75,-0.5,,,
1.53527E+15,-0.4375,-0.5625,-0.1875,,,
1.53527E+15,0.5625,0.0625,-0.4375,,,
1.53527E+15,1.6875,-0.0625,-1.0625,,,
1.53527E+15,1.0625,-0.375,-0.875,,,
1.53527E+15,-0.875,0.3125,-0.625,,,
1.53527E+15,-0.4375,0.25,-0.375,,,
1.53527E+15,1,0,-0.5,,,
1.53527E+15,0.125,-0.25,-0.25,,,
1.53527E+15,-0.375,0.25,0.125,,,
1.53527E+15,0.5625,1.0625,0.125,,,
1.53527E+15,0.5,0.8125,0.5,,,
1.53527E+15,-0.1875,0.625,0.5,,,
1.53527E+15,-0.5,0.5625,0.0625,,,
1.53527E+15,0.375,1,-0.3125,,,
1.53527E+15,0.125,0.625,-0.0625,,,
1.53527E+15,-0.8125,0.25,0.5625,,,
1.53527E+15,0.1875,0,0.75,,,
1.53527E+15,1.25,-0.25,1.5,,,
1.53527E+15,0.5,-0.125,1.625,,,
1.53527E+15,-0.3125,0.125,1.1875,,,
1.53527E+15,-0.3125,0.125,0.25,,,
1.53527E+15,-0.3125,-0.1875,-0.1875,,,
1.53527E+15,-0.1875,-0.125,-0.0625,,,
1.53527E+15,-0.125,-0.25,-0.0625,,,
1.53527E+15,0,-0.125,-0.25,,,
1.53527E+15,1.125,0,-0.5625,,,
1.53527E+15,0.5625,0.0625,-0.875,,,
1.53527E+15,-1.125,-0.5,-1.25,,,
1.53527E+15,0.4375,-0.25,-2.0625,,,
1.53527E+15,0.5625,-0.5,-2.5625,,,
1.53527E+15,-0.125,0,-2.25,,,
1.53527E+15,-0.1875,0.3125,-1.6875,,,
1.53527E+15,-0.3125,-0.3125,-1,,,
1.53527E+15,-0.75,-0.0625,-0.3125,,,
1.53527E+15,0,0.1875,-0.3125,,,
1.53527E+15,0.125,-0.3125,-0.6875,,,
1.53527E+15,0,-0.5625,-0.8125,,,
1.53527E+15,0.75,-0.25,-1.1875,,,
1.53527E+15,0.6875,0,-1.1875,,,
1.53527E+15,0.0625,-0.125,-1.1875,,,
1.53527E+15,-0.75,-0.25,-1,,,
1.53527E+15,-0.4375,-0.0625,-0.5,,,
1.53527E+15,0.75,-0.0625,-0.8125,,,
1.53527E+15,1.375,-0.0625,-0.875,,,
1.53527E+15,-0.6875,-0.25,-0.25,,,
1.53527E+15,-1.25,-0.25,-0.8125,,,
1.53527E+15,0.5625,-0.4375,-1,,,
1.53527E+15,0.375,-0.625,-0.5625,,,
1.53527E+15,-0.0625,-0.25,-0.6875,,,
1.53527E+15,-0.4375,-0.4375,-0.6875,,,
1.53527E+15,0.5,-0.625,-0.6875,,,
1.53527E+15,1.25,-0.8125,-0.875,,,
1.53527E+15,0.25,-0.5625,-0.5,,,
1.53527E+15,0,-0.0625,-0.8125,,,
1.53527E+15,0.875,-0.625,-1.125,,,
1.53527E+15,0.4375,-0.875,-0.6875,,,
1.53527E+15,1,-0.75,-0.875,,,
1.53527E+15,0.3125,-0.9375,-1,,,
1.53527E+15,0.0625,-0.5,-0.75,,,
1.53527E+15,0.5,-0.3125,-0.875,,,
1.53527E+15,1.375,-0.6875,-1.3125,,,
